S20c创建定时开,xuhuilin@orvibo.com,2c3ae804b8ba,开,aede78b00d4e40a8821e16299c35e7ec,on,0,0,0,0,6,12,6,129,0,"""status"": 0"
s30m创建定时开,xuhuilin@orvibo.com,5ccf7fda9182,开,b78d1bc5199346f0a13255ed399f3714,on,0,0,0,0,7,12,15,144,0,"""status"": 0"
s30m创建定时关,xuhuilin@orvibo.com,5ccf7fda9182,关,b78d1bc5199346f0a13255ed399f3714,off,1,0,0,0,8,45,2,224,0,"""status"": 0"
s30m创建定时翻转,xuhuilin@orvibo.com,5ccf7fda9182,翻转,b78d1bc5199346f0a13255ed399f3714,toggle,2,0,0,0,9,0,59,255,0,"""status"": 0"
调光灯开,xuhuilin@orvibo.com,5cffffe200b2,开,45c852eee0464cefb8e17f65751b31e8,on,0,100,0,0,10,48,2,144,0,"""status"": 0"
调光灯关,xuhuilin@orvibo.com,5cffffe200b2,关,45c852eee0464cefb8e17f65751b31e8,off,1,0,0,0,11,50,9,144,0,"""status"": 0"
色温灯开,xuhuilin@orvibo.com,5cffffe200b2,开,dc210852957d487382ef1941de014f91,on,0,60,154,0,12,4,3,144,0,"""status"": 0"
色温灯关,xuhuilin@orvibo.com,5cffffe200b2,关,dc210852957d487382ef1941de014f91,off,1,90,370,0,13,14,12,0,0,"""status"": 0"
窗帘多功能控制盒开,xuhuilin@orvibo.com,5cffffe200b2,开,b06299437ae44f458e3e403c5790a97a,open,100,0,0,0,14,45,54,0,0,"""status"": 0"
窗帘多功能控制盒关,xuhuilin@orvibo.com,5cffffe200b2,关,b06299437ae44f458e3e403c5790a97a,open,0,0,0,0,15,14,2,0,0,"""status"": 0"
窗帘多功能控制盒停,xuhuilin@orvibo.com,5cffffe200b2,停,b06299437ae44f458e3e403c5790a97a,stop,50,0,0,0,16,21,3,0,0,"""status"": 0"
rgb开,xuhuilin@orvibo.com,5cffffe200b2,开,05d1f57f9ac7493ea289d54f051c7d1b,on,0,60,180,60,17,12,4,0,0,"""status"": 0"
rgb关,xuhuilin@orvibo.com,5cffffe200b2,关,05d1f57f9ac7493ea289d54f051c7d1b,off,1,0,0,0,18,45,23,0,0,"""status"": 0"
rgb颜色控制,xuhuilin@orvibo.com,5cffffe200b2,颜色控制,05d1f57f9ac7493ea289d54f051c7d1b,color control,0,32,220,70,19,46,24,0,0,"""status"": 0"
rgb调节色度,xuhuilin@orvibo.com,5cffffe200b2,调节色度,05d1f57f9ac7493ea289d54f051c7d1b,move to hue,0,32,220,80,20,47,25,0,0,"""status"": 0"
rgb调节饱和度,xuhuilin@orvibo.com,5cffffe200b2,调节饱和度,05d1f57f9ac7493ea289d54f051c7d1b,move to saturation,0,32,340,80,1,48,26,0,0,"""status"": 0"
rgb调节色度和饱和度,xuhuilin@orvibo.com,5cffffe200b2,调节色度和饱和度,05d1f57f9ac7493ea289d54f051c7d1b,move hue and saturation,0,32,370,90,2,49,27,0,0,"""status"": 0"
灯1开,xuhuilin@orvibo.com,5cffffe200b2,开,07885ad8e0ca45858611504d80793039,on,0,0,0,0,3,50,28,0,0,"""status"": 0"
灯1关,xuhuilin@orvibo.com,5cffffe200b2,关,07885ad8e0ca45858611504d80793039,off,1,0,0,0,4,51,29,0,0,"""status"": 0"
