casename,uid,deviceId,actionName,order,value1,value2,value3,value4,delayTime,assertion
调光灯开修改为关,5cffffe200b2,7a6e217190c64273afc7166626eb9d8e,关,off,1,0,0,0,0,"""status"": 0"
调光灯关修改为开,5cffffe200b2,7a6e217190c64273afc7166626eb9d8e,开,on,0,100,0,0,10,"""status"": 0"
色温灯开修改为关,5cffffe200b2,dc210852957d487382ef1941de014f91,关,off,1,60,154,0,11,"""status"": 0"
色温灯关修改为开,5cffffe200b2,dc210852957d487382ef1941de014f91,开,on,0,90,370,0,12,"""status"": 0"
窗帘多功能控制盒开修改为关,5cffffe200b2,b06299437ae44f458e3e403c5790a97a,关,open,0,0,0,0,13,"""status"": 0"
窗帘多功能控制盒关修改为停,5cffffe200b2,b06299437ae44f458e3e403c5790a97a,停,stop,50,0,0,0,15,"""status"": 0"
窗帘多功能控制盒停修改为开,5cffffe200b2,b06299437ae44f458e3e403c5790a97a,开,open,100,0,0,0,17,"""status"": 0"
rgb开,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,关,off,1,0,0,0,19,"""status"": 0"
rgb关,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,开,on,0,60,180,60,21,"""status"": 0"
rgb颜色控制,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,颜色控制,color control,0,32,220,70,23,"""status"": 0"
rgb调节色度,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,调节色度,move to hue,0,32,220,80,25,"""status"": 0"
rgb调节饱和度,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,调节饱和度,move to saturation,0,32,340,80,27,"""status"": 0"
rgb调节色度和饱和度,5cffffe200b2,05d1f57f9ac7493ea289d54f051c7d1b,调节色度和饱和度,move hue and saturation,0,32,370,90,29,"""status"": 0"
灯19开修改为关,5cffffe200b2,5fc45c1b0dfd4e9e950bb94ea41d4ce2,关,off,1,0,0,0,31,"""status"": 0"
灯19关修改为开,5cffffe200b2,5fc45c1b0dfd4e9e950bb94ea41d4ce2,开,on,0,0,0,0,33,"""status"": 0"
继电器开修改为关,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,关,off,1,0,0,0,35,"""status"": 0"
继电器关修改为翻转,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,翻转,toggle,2,0,0,0,37,"""status"": 0"
继电器翻转修改为开,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,开,on,0,0,0,0,39,"""status"": 0"
RF灯开修改为关,6001940af5de,37f348555db245b98d5c69a8130fcec3,关,rf control,1,0,0,0,41,"""status"": 0"
RF灯关修改为开,6001940af5de,37f348555db245b98d5c69a8130fcec3,开,rf control,0,0,0,0,43,"""status"": 0"
红外转发器空调制冷修改延时,5cffffe200b2,1e158a787b234d83a20c2dfc29244db2,制冷,311000,0,0,0,0,49,"""status"": 0"
红外转发器机顶盒频道0修改延时,5cffffe200b2,46d2047b3f644631bcb6d8852cc20c44,频道0,310200,0,0,0,0,51,"""status"": 0"
红外转发器自定义第一个按钮修改延时,5cffffe200b2,20bdda75a1de46388beb76a7b2fdb529,第一个按钮,370000,0,0,0,0,53,"""status"": 0"
红外转发器电视频道0修改延时,5cffffe200b2,a01e7661cf484229b776a36e5905bb13,频道0,310100,0,0,0,0,55,"""status"": 0"
