casename,uid
S20c开,2c3ae804b8ba
s30m开,5ccf7fda9182
s30m关,5ccf7fda9182
s30m翻转,5ccf7fda9182
调光灯开,5cffffe200b2
调光灯关,5cffffe200b2
色温灯开,5cffffe200b2
色温灯关,5cffffe200b2
窗帘多功能控制盒开,5cffffe200b2
窗帘多功能控制盒关,5cffffe200b2
窗帘多功能控制盒停,5cffffe200b2
rgb开,5cffffe200b2
rgb关,5cffffe200b2
rgb颜色控制,5cffffe200b2
rgb调节色度,5cffffe200b2
rgb调节饱和度,5cffffe200b2
rgb调节色度和饱和度,5cffffe200b2
灯1开,5cffffe200b2
灯1关,5cffffe200b2
继电器开,5cffffe200b2
继电器关,5cffffe200b2
继电器翻转,5cffffe200b2
RF灯开,6001940af5de
RF灯关,6001940af5de
RF灯翻转,6001940af5de
RF窗帘开,6001940af5de
RF窗帘关,6001940af5de
RF窗帘停,6001940af5de
RF晾衣架关,6001940af5de
RF晾衣架照明,6001940af5de
RF晾衣架风干,6001940af5de
RF晾衣架烘干,6001940af5de
RF晾衣架消毒,6001940af5de
RF晾衣架上移,6001940af5de
RF晾衣架停止,6001940af5de
RF晾衣架下移,6001940af5de
红外转发器空调制冷,5cffffe200b2
红外转发器机顶盒频道0,5cffffe200b2
红外转发器自定义第一个按钮,5cffffe200b2
红外转发器电视频道0,5cffffe200b2
