caseName,uid,deviceId,order,value1,value2,value3,value4,assert,statusNum
【控制设备：ZigBee】开关（灯1）：开,5cffffe200b2,07885ad8e0ca45858611504d80793039,on,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】开关（灯1）：关,5cffffe200b2,07885ad8e0ca45858611504d80793039,off,0,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：开,5ccf7fda9182,b78d1bc5199346f0a13255ed399f3714,on,0,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：关,5ccf7fda9182,b78d1bc5199346f0a13255ed399f3714,off,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】继电器：开,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,on,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】继电器：关,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,off,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】开关：order和value1匹配(on/1),5cffffe200b2,07885ad8e0ca45858611504d80793039,on,1,0,0,0,"""status"": 0",
【控制设备：ZigBee】开关：order和value1匹配(off/0),5cffffe200b2,07885ad8e0ca45858611504d80793039,off,0,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：order和value1匹配(on/1),5ccf7fda9182,b78d1bc5199346f0a13255ed399f3714,on,1,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：order和value1匹配(off/0),5ccf7fda9182,b78d1bc5199346f0a13255ed399f3714,off,0,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：deviceId为空,5ccf7fda9182,,off,0,0,0,0,"""status"": 0",
【控制设备：WIFI】S30插座：uid和deviceId为空,,,on,0,0,0,0,"""status"": 48",
【控制设备：ZigBee】继电器1：uid为空,,6dae91316ecc4ff8befe0a5236e6c26b,on,0,0,0,0,"""status"": 48",
【控制设备：ZigBee】继电器1：deviceId为空,5cffffe200b2,,on,0,0,0,0,"""status"": 26",
【控制设备：WIFI】S30插座：order值异常,5ccf7fda9182,b78d1bc5199346f0a13255ed399f3714,onoff,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】开关（灯1）：value1-value4为空,5cffffe200b2,07885ad8e0ca45858611504d80793039,on,null,null,null,null,,
【控制设备：ZigBee】开关（灯1）：value1-value4赋值,5cffffe200b2,07885ad8e0ca45858611504d80793039,on,2,3,4,4,"""status"": 0",
【控制设备：ZigBee】继电器：翻转,5cffffe200b2,6dae91316ecc4ff8befe0a5236e6c26b,toggle,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】空气开关：开,5cffffe200b2,da2fe1f44f2e4cd79c62df8babd1330e,on,0,0,0,0,"""status"": 0",
【控制设备：ZigBee】空气开关：关,5cffffe200b2,da2fe1f44f2e4cd79c62df8babd1330e,off,1,0,0,0,"""status"": 0",
【控制设备：WIFI】窗帘电机：开,a020a612005a,72968794c1a1424da8c3a8bba68a8593,open,100,0,0,0,"""status"": 0",
【控制设备：WIFI】窗帘电机：关,a020a612005a,72968794c1a1424da8c3a8bba68a8593,close,0,0,0,0,"""status"": 0",
【控制设备：WIFI】窗帘电机：停,a020a612005a,72968794c1a1424da8c3a8bba68a8593,stop,50,0,0,0,"""status"": 0",
【控制设备：WIFI】窗帘电机：开15%（微光模式）,a020a612005a,72968794c1a1424da8c3a8bba68a8593,open,15,0,0,0,"""status"": 0",
【控制设备：WIFI】窗帘电机：开50（半开模式）,a020a612005a,72968794c1a1424da8c3a8bba68a8593,open,50,0,0,0,"""status"": 0",
